iter	Accuracy	MultiClass
666	0.8259628352	0.4426605637
667	0.8260153773	0.4425055824
668	0.8259803492	0.442369073
669	0.8260328914	0.4422674753
670	0.8260854336	0.4421158362
671	0.8260679195	0.4420463868
672	0.8260679195	0.4419981166
673	0.8261029476	0.4417938196
674	0.8260504055	0.4417138518
675	0.8261554898	0.4415846595
676	0.8262605741	0.441459542
677	0.8263481444	0.4413253112
678	0.8264006866	0.4412359572
679	0.8263831725	0.4410926461
680	0.8264882568	0.4410162926
681	0.826558313	0.4409248918
682	0.8264707428	0.440819048
683	0.8265232849	0.4407104823
684	0.8265758271	0.4406157576
685	0.8266984255	0.4404703556
686	0.8268035098	0.4403616195
687	0.8269261082	0.4402718386
688	0.8269961644	0.4401702447
689	0.8269611363	0.4400719023
690	0.826873566	0.4399006391
691	0.8269961644	0.4398044769
692	0.8269961644	0.4396359269
693	0.8272238471	0.4395402396
694	0.8272588752	0.4394646729
695	0.8274165017	0.4393392832
696	0.8273989877	0.4392130443
697	0.8273814736	0.4390921981
698	0.8275741282	0.4389265233
699	0.8275916423	0.4388048155
700	0.8276616985	0.4387307991
701	0.8276266704	0.4386396988
702	0.8275391001	0.4385491384
703	0.8276091563	0.4384309373
704	0.827801811	0.4382783473
705	0.8278718672	0.4381723883
706	0.8279068953	0.4381009744
707	0.8279944656	0.4379134641
708	0.8280470077	0.4378119409
709	0.828134578	0.4377172899
710	0.8281871202	0.4376098087
711	0.8282221483	0.4374718566
712	0.8283447467	0.4373462593
713	0.8283272326	0.437268171
714	0.8283272326	0.437149398
715	0.8282746904	0.4370898973
716	0.8282571764	0.4369925838
717	0.8285198872	0.436898658
718	0.8285023732	0.4368300065
719	0.8285549153	0.4367484368
720	0.8286074575	0.4365649253
721	0.8285724294	0.4364718566
722	0.8287125418	0.4363645039
723	0.828765084	0.4362640902
724	0.8287475699	0.4361651202
725	0.8286950278	0.4360902395
726	0.8288526543	0.435986571
727	0.8288876824	0.4359332372
728	0.8289402245	0.435904088
729	0.8288876824	0.4357335318
730	0.8289577386	0.4355905732
731	0.8289752526	0.4355359858
732	0.8289402245	0.4353581774
733	0.8290628229	0.4352426324
734	0.829097851	0.4351393687
735	0.8291503932	0.4350279711
736	0.8292729916	0.4349223649
737	0.8293255337	0.4348223106
738	0.8294306181	0.4346748
739	0.8295707305	0.4345209973
740	0.8295707305	0.4344151368
741	0.8297808992	0.4342565727
742	0.8298859835	0.4341481448
743	0.83004361	0.4340811828
744	0.8300260959	0.4339728908
745	0.83004361	0.4338585149
746	0.8300961522	0.4337131395
747	0.8300786381	0.4336144685
748	0.8299910678	0.4335275635
749	0.8299735538	0.4334342352
750	0.83004361	0.4333258842
751	0.8300611241	0.4332270793
752	0.8301662084	0.4331361587
753	0.8301136662	0.433031794
754	0.8302012365	0.4329451296
755	0.8301837224	0.4328771805
756	0.8302712927	0.4327910671
757	0.8302712927	0.4326851032
758	0.8302712927	0.432562864
759	0.830358863	0.432518324
760	0.8304114052	0.4324762086
761	0.8303063208	0.4323613813
762	0.830358863	0.4322577711
763	0.8304464333	0.432088807
764	0.8305340035	0.431965343
765	0.8304639473	0.4318588483
766	0.8305340035	0.4317849374
767	0.8305340035	0.4317014612
768	0.8305515176	0.4315807608
769	0.8305690316	0.4315162125
770	0.8305690316	0.4313960259
771	0.830674116	0.4312816592
772	0.8307266581	0.4312271977
773	0.8307967144	0.431140223
774	0.8308492565	0.4310697553
775	0.8309193127	0.4309481141
776	0.8309543409	0.4307891154
777	0.8310243971	0.43067267
778	0.830989369	0.4305689592
779	0.8310419111	0.4305016759
780	0.830989369	0.4304547722
781	0.8310594252	0.4303442953
782	0.8310769392	0.4302634792
783	0.8311645095	0.4301774755
784	0.8311820236	0.4300970332
785	0.8310944533	0.4300105252
786	0.8312170517	0.4299011848
787	0.831304622	0.4298166861
788	0.8313571641	0.4297369621
789	0.8313746782	0.4296385729
790	0.8313396501	0.4295809702
791	0.831322136	0.429483805
792	0.831322136	0.4293113197
793	0.8314097063	0.4291763491
794	0.8313396501	0.4291430397
795	0.8314272203	0.4290621143
796	0.8315147906	0.4289735923
797	0.8316198749	0.4288746749
798	0.8315848468	0.4287658193
799	0.8316899312	0.4286777869
800	0.8316899312	0.4285998341
801	0.8317775014	0.4285028169
802	0.8317424733	0.428424554
803	0.8317424733	0.4282979928
804	0.8317074452	0.4282172856
805	0.8317599874	0.428155006
806	0.8317249593	0.428052029
807	0.8318825858	0.4279790719
808	0.8320402123	0.4278977948
809	0.8319351279	0.4277695474
810	0.8319701561	0.4277015314
811	0.8320752404	0.4276084134
812	0.8320752404	0.4274818309
813	0.8322503809	0.4273218502
814	0.832285409	0.4272169787
815	0.8321978388	0.4271289485
816	0.8322503809	0.4270253314
817	0.8323904934	0.4268923878
818	0.832600662	0.4267876207
819	0.8326181761	0.4267031967
820	0.832600662	0.4266375992
821	0.8326356901	0.4265143336
822	0.8325130918	0.4263892972
823	0.8325656339	0.426277077
824	0.8326356901	0.4261627604
825	0.8326356901	0.4260711101
826	0.8326532042	0.4260232462
827	0.8327582885	0.425952154
828	0.8327057464	0.4258495755
829	0.8326532042	0.4258114794
830	0.8326882323	0.4256509108
831	0.8326707183	0.4255671255
832	0.8327407745	0.4254742535
833	0.8328808869	0.4253802321
834	0.8329684572	0.4252797671
835	0.8329859712	0.4251794173
836	0.8330209994	0.4251107092
837	0.8330385134	0.4249257479
838	0.8330735415	0.4248529189
839	0.8330910556	0.4247633881
840	0.8331435977	0.4246896237
841	0.8333012242	0.424614992
842	0.8332837102	0.4245785043
843	0.8333012242	0.4245048396
844	0.8333012242	0.424447559
845	0.8334238226	0.4243533177
846	0.8334588507	0.4243197169
847	0.833546421	0.4242408945
848	0.8335814491	0.4241688216
849	0.8335113929	0.4240897427
850	0.8334413367	0.4239669173
851	0.8335113929	0.4239052964
852	0.8337040475	0.4238223773
853	0.8336690194	0.4237532047
854	0.8337040475	0.4236734381
855	0.8337215616	0.4236299558
856	0.8338967021	0.4235552089
857	0.833879188	0.4234838137
858	0.8339317302	0.4234186432
859	0.833861674	0.4233500076
860	0.8338441599	0.4232621341
861	0.833879188	0.4232328693
862	0.8339317302	0.4231678933
863	0.8340718427	0.4230014964
864	0.8341243848	0.4229114595
865	0.8342119551	0.4227973442
866	0.8342119551	0.4227239291
867	0.8343345535	0.422625963
868	0.8344046097	0.4225303906
869	0.8344571519	0.4224471591
870	0.834509694	0.4223659411
871	0.8346147784	0.4223194371
872	0.8345447221	0.4222341547
873	0.834509694	0.4220991023
874	0.8346848346	0.4220170254
875	0.834807433	0.4219030942
876	0.8348950032	0.4217547724
877	0.8347724049	0.4216856411
878	0.8347899189	0.4216153479
879	0.834824947	0.4215265463
880	0.8348774892	0.4214295875
881	0.8348424611	0.421381282
882	0.8348950032	0.421289902
